Unnamed: 0,transition_type,TRBD1,"TRBD1, TRBD2",TRBD2,"TRBD2, TRBD1"
0,4,0.0,0.9236811944790454,0.7172000357227127,1.0
0,4,0.3989683789142198,1.0,0.3133475255396185,0.0
0,4,0.5457869421240444,1.0,0.0,0.9789388423117036
0,4,0.2525746278718735,1.0,0.0,0.1445113054713074
0,4,0.0,0.0431897268522484,1.0,0.3043439497710707
0,4,0.7251353902603408,1.0,0.6798962312281795,0.0
0,4,0.0,0.2624672357743019,1.0,0.1239790371717233
0,4,0.0,1.0,0.883534721849373,0.9069670115296344
0,4,0.0,1.0,0.4270438465389737,0.3333787301604549
0,2,0.0,0.6522421199204241,1.0,0.4489104829274853
0,2,0.7392301930811679,1.0,0.0,0.5373922145759246
0,2,0.31317122835707,1.0,0.7078008859591445,0.0
0,2,0.6278252302278785,1.0,0.9556605844319198,0.0
0,2,1.0,0.1601679843638382,0.0,0.7825429237443199
0,2,0.7089539418736016,0.0,0.5591663287468878,1.0
0,1,1.0,0.2500034738675992,0.0,0.3119571148621291
0,1,0.6760161207265293,0.3116653256358611,0.0,1.0
0,1,0.8225723726573109,1.0,0.0,0.5651553794254967
0,1,0.5319455296382659,0.0,1.0,0.6051938958086674
0,1,1.0,0.0,5.5125398482269125e-05,0.6096565113866463
0,1,1.0,0.0,0.4104458304655969,0.9384041884090416
0,1,1.0,0.2177391851509539,0.1091538530989103,0.0
0,1,1.0,0.0372342005380651,0.7252458947491771,0.0
0,1,1.0,0.0,0.3826130554897629,0.8422469838757352
0,1,0.0,1.0,0.141285438773743,0.8007633142548296
0,1,0.0573444428996771,0.0,1.0,0.8167961387157566
0,1,0.6508500027574365,0.5041809421328427,1.0,0.0
0,1,0.0,1.0,0.3065962160235502,0.3525543500339756
0,1,1.0,0.8981624151282322,0.0,0.5457002003431313
0,1,0.0,1.0,0.1742601418668995,0.2655795712342917
0,1,0.3839011586025276,1.0,0.7607919399135045,0.0
0,3,1.0,0.1990011479069689,0.4269561554940858,0.0
0,3,0.0,0.8393536462492458,1.0,0.5724341590171015
0,3,0.0,1.0,0.7445664694991937,0.7734360150639056
0,3,1.0,0.4234330567934498,0.0,0.7274858287547772
0,3,0.7371749578722644,0.0,1.0,0.6060204833292138
0,3,0.1146284345681808,0.0,1.0,0.4897146295131546
